Time (s), Cell Name, Value
24.63, C5,0.11
24.63, C23,0.17
24.63, C40,0.31
24.63, C50,0.25
24.63, C60,0.16
24.73, C0,0.15
24.73, C15,0.18
24.73, C50,0.22
24.83, C0,0.14
24.83, C13,0.14
24.83, C15,0.18
24.83, C21,0.16
24.83, C40,0.47
24.83, C43,0.16
24.83, C60,0.26
24.83, C61,0.43
24.93, C26,0.18
24.93, C27,0.11
24.93, C32,0.19
25.03, C15,0.17
25.03, C19,0.2
25.03, C21,0.12
25.03, C27,0.13
25.03, C43,0.22
25.03, C61,0.33
25.13, C13,0.13
25.13, C15,0.32
25.13, C19,0.15
25.13, C28,0.15
25.13, C32,0.24
25.13, C40,0.17
25.23, C28,0.29
25.23, C30,0.16
25.23, C54,0.11
25.33, C12,0.19
25.33, C24,0.14
25.33, C40,0.25
25.43, C40,0.25
25.53, C2,0.12
25.53, C13,0.13
25.53, C17,0.11
25.63, C22,0.13
25.63, C38,0.13
25.63, C41,0.29
25.63, C49,0.13
25.73, C40,0.35
25.83, C5,0.11
25.83, C6,0.17
25.83, C9,0.16
25.83, C40,0.58
25.83, C44,0.19
25.93, C12,0.14
25.93, C22,0.17
26.03, C40,0.54
26.13, C9,0.24
26.13, C13,0.13
26.13, C34,0.12
26.13, C40,0.1
26.23, C3,0.11
26.23, C9,0.24
26.23, C13,0.12
26.23, C25,0.15
26.23, C44,0.34
26.33, C9,0.38
26.33, C20,0.11
26.33, C21,0.23
26.33, C59,0.26
26.43, C9,0.29
26.43, C33,0.13
26.43, C40,0.41
26.43, C51,0.23
26.43, C59,0.12
26.53, C13,0.14
26.53, C59,0.19
26.63, C32,0.13
26.63, C38,0.16
26.63, C41,0.1
26.63, C43,0.18
26.73, C32,0.13
26.73, C34,0.14
26.83, C13,0.13
26.83, C24,0.11
26.83, C43,0.21
26.93, C10,0.77
26.93, C26,0.14
26.93, C28,0.13
26.93, C40,0.59
26.93, C41,0.11
26.93, C54,0.12
26.93, C56,0.1
27.03, C2,0.17
27.03, C13,0.13
27.03, C17,0.11
27.03, C33,0.11
27.03, C41,0.15
